actual_arrival_date,assignment,audit_date,country_of_origin,date_issued,description,eccn_code,entryid,eu_dual_use_code,expected_arrival_date,gdrivefolder,issue_version,jobcard,last_jobcard_comment,location,manufacturer_serialno,name,office,order_promise_date,patch,purchase_order,serialno,status,vendor,work_order
2017-11-27,,,USA,2017-10-30,Flash S-band Radio RF PCB,9A515.X,21522,NLR,2017-11-27,0B8g1PtZpbs-qTlZQYmp1QTdSWFE,1.3.1,1y_VvS4n9EUxu5zvmivFWMsMBNedaJlwW4wl2_HKns0A,"<p>FLASHRF board failing TX tunning <a href=""https://app.asana.com/0/104938003044303/550844168783652"" rel=""noopener noreferrer"" target=""_blank"">NCR</a><br><br></p>",X-003C,HMK17/45 33475/1 SN0301,FLASHRF,UK,2017-11-27 00:00:00+00:00,0,2170277,FLRF0157,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-11-27,,,USA,2017-10-30,Flash S-band Radio RF PCB,9A515.X,21530,NLR,2017-11-27,0B8g1PtZpbs-qaFdkcG1wcVJfSVE,1.3.1,1Zu5FXQjpV5GF_4wMk08vhYidVcYDC3pUTwsFpaLVOyI,"<p>RFLASHRF failing to transmit RF signal. <a href=""https://app.asana.com/0/104938003044303/545833903842310"">NCR</a></p>",X-003C,HMK17/45 33475/1 SN0295,FLASHRF,UK,2017-11-27 00:00:00+00:00,0,2170277,FLRF0165,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-12-20,,,GBR,2017-11-09,LEMUR2 SPAC Module Baseplate,9A515.X,23761,NLR,2017-12-20,,1.0.1,,"<p>ECN Completed , however gasket damaged in one area. To be repaired.</p>",X-001,,SPACS_CHASSIS,UK,2017-12-20 00:00:00+00:00,0,2170326,SPCHA018,FAULTY,GOSPORT METAL TREATMENTS LTD,
2017-10-23,,,USA,2017-09-29,Flash S-band Radio RF PCB,9A515.X,20555,NLR,2017-10-23,0B8g1PtZpbs-qeFRCU3RQU0xPNkE,1.3.1,1zuiXzboqX5d0njLJVZpN1jDvG0Ajq-BSedE_c4qjAO0,"<p>FAILED - <a href=""https://app.asana.com/0/63079693064060/546021626866530"" rel=""noopener noreferrer"" target=""_blank"">NCR</a></p>",MANUFACTURING,HMK17/41 33367/1 SN004,FLASHRF,UK,2017-10-23 00:00:00+00:00,0,2170217,FLRF0153,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-12-18,,,GBR,2017-10-31,LEMUR-2 AIS RECEIVER ENCLOSURE,9A515.X,22653,NLR,2017-12-22,0B8g1PtZpbs-qMk1iLW10QVhDTFU,2.0.1,15_qmObxLEZods6-AytCuyr7TK7A07Vda0h7-RVd1MRM,<p>Found to be faulty- last Modification not completed - will need to be returned to Penta for rework</p>,RMA,,SHLDAIS,UK,2017-12-15 00:00:00+00:00,0,2170280,SHDAS112,FAULTY,PENTA PRECISION LIMITED,
2017-12-18,,,GBR,2017-10-31,LEMUR-2 AIS RECEIVER ENCLOSURE,9A515.X,22642,NLR,2017-12-22,0B8g1PtZpbs-qUzJWVHB0Vk96MlU,2.0.1,1v9i87tl0Pd1nIBifwXBzE6N9diOy3v3qBABhOy9eu2U,<p>Found to be faulty- last change not completed - to be returned to Penta for Rework</p>,RMA,,SHLDAIS,UK,2017-12-15 00:00:00+00:00,0,2170280,SHDAS101,FAULTY,PENTA PRECISION LIMITED,
2017-04-12,,,GBR,2017-03-17,RADFACE UHF Transceiver PCB,9A515.X,18124,NLR,2017-04-12,0B8g1PtZpbs-qX243YmptQVpWb0E,1.2.1,1cl2rk5vj-VcIL7UMJQv0xJqMqc4TCWd7_6Pl8Lujzac,<p>Conformal coated- Inspected SMcG- FLIGHT</p>,ENGINEERING,,RADFACE,UK,2017-04-14 00:00:00+00:00,0,2170036,RADF0068,FAULTY,HALLMARK ELECTRONICS LIMITED,
2018-01-25,,,USA,2017-11-17,Lemur-2 +Z Photodiode Array,9A515.x,24601,NLR,2018-01-22,1TFkibKACCqnybsnRCs0uLZL01dQg17fG,3.1,1DK7-_eY8ARdd0qStGnMiBGg3sJs7FXtCr4F-83QfNws,"<p>Workflow task <strong> Subsystem Thermal Cycle</strong> set to <strong>passed</strong>. Comment: PCB for sled , C.C. & thermal not required</p>",MANUFACTURING,,CSSPOSZ,UK,2017-12-22 00:00:00+00:00,0,2170355,CPZP0169,FAULTY,EUROPEAN CIRCUITS LIMITED,
2018-01-25,,,USA,2017-11-17,Lemur-2 +Z Photodiode Array,9A515.x,24600,NLR,2018-01-22,1ZrL078XEscPZeDJWryEueG19Q-2Xk8Yk,3.1,1M6_ayBlOHplYMIY7bqgvgh52EWLRQe-a01AoD21CG6w,"<p>Workflow task <strong> Subsystem Thermal Cycle</strong> set to <strong>passed</strong>. Comment: PCB for sled , thermal not required</p>",MANUFACTURING,,CSSPOSZ,UK,2017-12-22 00:00:00+00:00,0,2170355,CPZP0168,FAULTY,EUROPEAN CIRCUITS LIMITED,
2018-01-26,,,USA,2017-11-17,Lemur-2 +Z Photodiode Array,9A515.x,24603,NLR,2018-01-31,1ztTW6GQIvtxVVc66Rn-qvqd8z5qJ7RB4,3.1,1yVcuJmoSPSzEQwree3NkJhkuie_JhMV7W5VxqsjPDBY,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000083"">0000083</a></p>",MANUFACTURING,,CSSPOSZ,UK,2017-12-22 00:00:00+00:00,0,2170355,CPZP0171,FAULTY,EUROPEAN CIRCUITS LIMITED,
